,location,description,price,no_beds,square_foot,Type,Furnishing,building,place
0,"Rajiv Gandhi Nagar, Gachibowli, Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Fully Furnished 3 BHK Is Available In 6 Season Located In Gachibowli,
Hyderabad.Read more","25,000",3,1700,Apartment,[Fully Furnished ,Rajiv Gandhi Nagar,
1,"Golf Edge,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Fully Furnished 3 BHK Is Available In Golf Edge Located In Financial District,
Hyderabad.Read more","44,000",3,2000,Flat, Fully Furnished ,Golf Edge, Nanakaramguda
2,"Mega Hills, Madhapur,Hyderabad","3bhk brand new  semi Furnished flat  available for rent deposit only 10k in  madhaupur (available balcony ) .Located in madhaupur ready to get the property and available all amenities like a lift ,security guard and 24*7 water facility in the flat and facility geysers fans lights available to this apartment very nice and good decent area and good location 
Near by Google office,tech Mahindra,DLF and Wipro circle.
any more information contact Read more","28,000",3,2000,Flat, Semi Furnished ,Mega Hills, Madhapur
3,"Kondapur sri ram nagar colony,Kondapur, Hyderabad","This is a modern and stylish home available for affordable rent in Hyderabad. It is a 2 BHK Apartment situated at Kondapur. Designed to meet your lifestyle needs, the Apartment provides a range of modern amenities for the comfort of the residents. It is Furnished. Modern home seekers will experience a comfortable living in this 2 BHK property. The Apartment is on 3 floor, and the total number of floors is 5. The 2 BHK unit is elegantly designed to meet your housing needs. The Apartment has 2 bedrooms. It has 2 bathroom. The 2 BHK unit also includes 2 balcony giving splendid views of the surrou...Read more","21,000",2,1300,Flat, Fully Furnished ,Kondapur sri ram nagar colony, Kondapur
4,"Police Colony, Kondapur,Hyderabad","It is a beautiful Apartment. Semi-furnished property near your office location at best price. Rent 2 BHK near your office location. Homes that define aspirational lifestyle now in Hyderabad. Property for rent available at unbeatable price in Kondapur, check out now. The property is on the floor number 2 in a building which has 4 floors. Rent this property offered at best rent, located at Kondapur. Property available for property at Rs 17000. Contact for best deal.   One month's rent, which is Rs 18000, will be collected as security charges. Searching for up to 1100 sq ft built up area property...Read more","17,000",2,1100,Flat, Semi Furnished ,Police Colony, Kondapur
5,"Prime professional consultance,Gachibowli, Hyderabad","2BHK flat  in gachibowli near by Gachibowli ful forest more details just call me 
from :Prime professional consultancyRead more","21,000",2,1050,Flat, Fully Furnished ,Prime professional consultance, Gachibowli
6,"Sri Ramanapuram, Gaddi Annaram,Hyderabad",3 BHK House For Rent in Vivek Nagar Ramantapur Hyderabad With Fully Furnished and Rent is 16K.Read more,"16,000",3,1600,Independent, Fully Furnished ,Sri Ramanapuram, Gaddi Annaram
7,"Prestige Royal Woods,Hmbs Colony, Kismatpur,Hyderabad","Prestige Royal Woods is a luxury gated villa development spread over 24 acres of land on which 152 Independent Villas, a Clubhouse and all infrastructure are being built. The elevation and streetscapes are tastefully designed. Careful attention has been paid to space planning and the villas are designed to have ample setback areas. The villas are of 3 bedroom configuration and have ground+1 upper floor.  Prestige Royal Woods is located in the quiet neighborhood of Kismatpur off the ORR connecting Gachibowli to the Airport. The closest intersection is the TSPPA Junction.Read more","80,000",3,2800,Villa, Fully Furnished ,Prestige Royal Woods, Kismatpur
8,"Prestige High Fields,Financial District, Nanakaramguda,Hyderabad","The perfection of Prestige come together to introduce a whole new lifestyle, at Puppalaguda, Hyderabad with its brand new development, Prestige High Fields. Prestige High Fields is Hyderabad’s luxury development, spread across 10 High Rise Towers, consisting of 2,240 spell-binding apartments of 2, 2.5, 3, 3.5 & 4 bedroom sets. Spread across 21.85 acres, these apartments are all enchantingly landscaped and thoughtfully laid out to give you a lovely sense of space along with maximum ventilation and natural light. Located in the heart of Hyderabad’s financial district, Prestige High Fields opens ...Read more","50,000",3,1742,Flat, Semi Furnished ,Prestige High Fields, Nanakaramguda
9,"Emami Swanlake,Habeeb Nagar, Moosapet,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Emami Swan Lake Located In Moosapet,
Hyderabad.Read more","34,000",3,2200,Flat, Semi Furnished ,Emami Swanlake, Moosapet
