,venture,price,Emi,marketed,location,no_beds,possession_date,Avg
0,Provident Manhattan Pods And Condos,₹26.49 L - 42.49 L,EMI starts at ₹14.03 K,By  Provident Housing Limited,"Premavathi Pet,West Hyderabad,Hyderabad","1 RK, 1 BHK Flats for sale in Premavathi Pet","Oct, 2021","Possession StartsOct, 2021"
1,Giridhari Prospera County,₹6.65 Cr - 7.25 Cr,EMI starts at ₹3.30 Lacs,By  Giridhari Constructions,"Kismatpur,West Hyderabad,Hyderabad","4 BHK Villa, Triplex for sale in Kismatpur","Dec, 2023","Possession StartsDec, 2023Avg. Price₹14.00 K/sq.ft"
2,Aspirealty Advaith,₹36.01 L - 52.51 L,EMI starts at ₹19.07 K,By  Aspirealty,"Lemoor,South Hyderabad,Hyderabad",Residential Plots for sale in Lemoor,"Oct, 2022","Possession StartsOct, 2022Avg. Price₹15.00 K/sq.yd"
3,Om Sree Brilliance,₹1.24 Cr - 1.28 Cr,EMI starts at ₹61.33 K,By  Om Sree Builders And Developers,"Sainikpuri, Hyderabad",3 BHK Flat for sale in Yapral,"Jun, 2023","Possession StartsJun, 2023Avg. Price₹5.80 K/sq.ft"
4,Sree Nivasam,₹20.59 L - 47.54 L,EMI starts at ₹10.90 K,Marketed by  Kautilya homes,"Piglipur,South Hyderabad,Hyderabad",Residential Plots for sale in Piglipur,"Jul, 2022","Possession StartsJul, 2022Avg. Price₹13.99 K/sq.yd"
5,Navya Uvera Heights,₹89.38 L - 1.66 Cr,EMI starts at ₹44.37 K,By  Navya Developers,"LB Nagar, Hyderabad","2, 3 BHK Flats for sale in Mansoorabad","Jul, 2023","Possession StartsJul, 2023Avg. Price₹6.40 K/sq.ft"
6,Alekhya NSR County Phase II,₹30.06 L - 90 L,EMI starts at ₹15.92 K,Marketed by  Alekhya Naidu,"Sangareddy,North Hyderabad,Hyderabad",Residential Plots for sale in Sangareddy,Ready to Move,Possession StatusReady to MoveAvg. Price₹18.00 K/sq.yd
7,Aalaya,₹77.3 L - 95.8 L,EMI starts at ₹38.38 K,By  Ace Ventures India Pvt Ltd,"Pocharam,East Hyderabad,Hyderabad",3 BHK Flat for sale in Pocharam,"Dec, 2024","Possession StartsDec, 2024Avg. Price₹5.00 K/sq.ft"
8,Phoenix Luxury Park 2,₹2.8 Cr - 3.15 Cr,EMI starts at ₹1.39 Lacs,By  Phoenix Group,"Shamshabad,South Hyderabad,Hyderabad",4 BHK Villa for sale in Shamshabad,"Dec, 2023","Possession StartsDec, 2023Avg. Price₹8.00 K/sq.ft"
9,GSR Sri Meru,₹41.13 L - 91 L,EMI starts at ₹21.78 K,Marketed by  GSR,"Kollur,West Hyderabad,Hyderabad","2, 2.5, 3 BHK Flats for sale in Kollur","Aug, 2024","Possession StartsAug, 2024Avg. Price₹3.50 K/sq.ft"
10,Vajra The Royal Park,₹53.55 L - 70.35 L,EMI starts at ₹28.36 K,By  Vajra Builders And Developers,"Bowrampet,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Bowrampet","Dec, 2024","Possession StartsDec, 2024Avg. Price₹4.20 K/sq.ft"
11,Praneeth Pranav Flora,₹49.56 L,EMI starts at ₹26.24 K,By  Praneeth Group,"Suraram,North Hyderabad,Hyderabad",2 BHK Flat for sale in Suraram,"Mar, 2023","Possession StartsMar, 2023Avg. Price₹4.30 K/sq.ft"
12,NDR Vipasa,₹2.49 Cr,EMI starts at ₹1.24 Lacs,By  NDR Developers,"Shankarpally,Hyderabad",4 BHK Villa for sale in Shankarpally,"Mar, 2023","Possession StartsMar, 2023Avg. Price₹7.50 K/sq.ft"
13,Om Sree Heights,₹1.2 Cr - 1.61 Cr,EMI starts at ₹59.61 K,By  Om Sree Builders And Developers,"Yapral, Secunderabad",3 BHK Flat for sale in Yapral,"Jun, 2023","Possession StartsJun, 2023"
14,Riddhi Laxman County,₹2.36 Cr - 3.01 Cr,EMI starts at ₹1.17 Lacs,By  Riddhi Group,"Tukkuguda,South Hyderabad,Hyderabad",4 BHK Villa for sale in Tukkuguda,"Dec, 2023","Possession StartsDec, 2023Avg. Price₹6.50 K/sq.ft"
15,Rami Reddy Laxmi Ram Haran,₹96 L - 1.4 Cr,EMI starts at ₹47.66 K,By   Rami Reddy Constructions,"Attapur,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Attapur","Mar, 2023","Possession StartsMar, 2023Avg. Price₹7.00 K/sq.ft"
16,Ridhira Zen,₹35.99 L,EMI starts at ₹19.06 K,By  Ridhira Group,"Shankarpally, Hyderabad",Residential Plots for sale in Mohammadapur,"Dec, 2024","Possession StartsDec, 2024Avg. Price₹14.99 K/sq.yd"
17,Hallmark Skyrena,₹86.11 L - 1.47 Cr,EMI starts at ₹42.75 K,By  Hallmark Builders ,"Narsingi,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Narsingi","Oct, 2024","Possession StartsOct, 2024Avg. Price₹6.50 K/sq.ft"
18,Hallmark Treasor,₹1.19 Cr - 3.56 Cr,EMI starts at ₹58.90 K,By  Hallmark Builders ,"Gandipet,West Hyderabad,Hyderabad","3, 4 BHK Flats for sale in Gandipet","Nov, 2024","Possession StartsNov, 2024Avg. Price₹7.00 K/sq.ft"
19,Ashoka Spire,₹1.14 Cr - 1.27 Cr,EMI starts at ₹56.74 K,Marketed by  Proptiger,"Kokapet, Hyderabad",3 BHK Flat for sale in Kokapet,"Nov, 2023","Possession StartsNov, 2023Avg. Price₹6.00 K/sq.ft"
20,Signature Altius,₹63.71 L - 1.12 Cr,EMI starts at ₹33.74 K,By  Signature Avenues,"Kollur,West Hyderabad,Hyderabad","2, 2.5, 3 BHK Flats for sale in Kollur","Jun, 2024","Possession StartsJun, 2024Avg. Price₹4.60 K/sq.ft"
21,Merlion Galaxia,₹63.76 L - 92.66 L,EMI starts at ₹33.76 K,By  Merlion Builders,"Pragathi Nagar,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Pragathi Nagar","Jun, 2026","Possession StartsJun, 2026Avg. Price₹5.00 K/sq.ft"
22,Ridge Sunrise City,₹40.09 L,EMI starts at ₹21.23 K,By  Ridge Homes LLP,"Sultanpur,North Hyderabad,Hyderabad",Residential Plots for sale in Sultanpur,"Mar, 2022","Possession StartsMar, 2022Avg. Price₹24.00 K/sq.yd"
23,Praneeth Pranav Knightwoods,₹1.48 Cr - 1.58 Cr,EMI starts at ₹73.48 K,By  Praneeth Group,"Ramachandra Puram,North Hyderabad,Hyderabad",3 BHK Villa for sale in Ramachandra Puram,"Dec, 2023","Possession StartsDec, 2023Avg. Price₹8.22 K/sq.ft"
24,Budera Bliss,₹26.39 L - 32.31 L,EMI starts at ₹13.97 K,By  Haripriya Developers,"Sadasivpet,Hyderabad",Residential Plots for sale in Sadasivpet,Ready to Move,Possession StatusReady to MoveAvg. Price₹15.99 K/sq.yd
25,Ohana,₹1.8 Cr - 6.23 Cr,EMI starts at ₹89.36 K,By  Haripriya Developers,"Kompally,North Hyderabad,Hyderabad",Residential Plots for sale in Kompally,Ready to Move,Possession StatusReady to MoveAvg. Price₹75.00 K/sq.yd
26,Vaishnavi Houdini,₹62.02 L - 1.05 Cr,EMI starts at ₹32.85 K,By  Vaishnavi Infracon India Pvt. Ltd,"Bandlaguda Jagir,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Bandlaguda Jagir","Dec, 2024","Possession StartsDec, 2024Avg. Price₹5.20 K/sq.ft"
27,Anuhar Towers,₹70.28 L - 1.1 Cr,EMI starts at ₹37.22 K,By  Anuhar Homes Pvt Ltd,"Puppalaguda,West Hyderabad,Hyderabad","2, 2.5, 3 BHK Flats for sale in Puppalaguda","Dec, 2023","Possession StartsDec, 2023Avg. Price₹5.70 K/sq.ft"
28,Riddhi Pramukh Elegance,₹59.39 L - 1.7 Cr,EMI starts at ₹31.45 K,By  Riddhi Group,"Jeedimetla,North Hyderabad,Hyderabad","2, 3, 4 BHK Flats for sale in Jeedimetla","Dec, 2023","Possession StartsDec, 2023Avg. Price₹5.40 K/sq.ft"
29,Ace Amura,₹37.28 L - 38 L,EMI starts at ₹19.74 K,By  Ace Ventures India Pvt Ltd,"Narapally,East Hyderabad,Hyderabad",2 BHK Flat for sale in Narapally,"Dec, 2024","Possession StartsDec, 2024Avg. Price₹4.00 K/sq.ft"
30,BSCPL Bollineni Bion,₹1.84 Cr - 3.37 Cr,EMI starts at ₹91.11 K,By  BSCPL Infrastructure Ltd,"Kondapur,West Hyderabad,Hyderabad","3, 4 BHK Flats for sale in Kondapur","Dec, 2022","Possession StartsDec, 2022Avg. Price₹8.50 K/sq.ft"
31,Svadha Kollaar,₹58.5 L - 91 L,EMI starts at ₹30.98 K,By  Svadha Projects,"Osman Nagar,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Osman Nagar","Dec, 2022","Possession StartsDec, 2022Avg. Price₹5.20 K/sq.ft"
